anime_id,name,genre,type,episodes,rating,members,english_name,status,description,image_url
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,Your Name.,completed,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies.",https://picsum.photos/seed/32281/225/320
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,Fullmetal Alchemist: Brotherhood,completed,Two brothers search for a Philosopher's Stone after an attempt to revive their mother goes awry.,https://picsum.photos/seed/5114/225/320
28977,GintamaÂ°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,GintamaÂ°,completed,Discover the epic story of GintamaÂ°. A must-watch for all anime fans!,https://picsum.photos/seed/28977/225/320
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,Steins;Gate,completed,"A mad scientist discovers he can send text messages to the past, changing the future.",https://picsum.photos/seed/9253/225/320
9969,Gintama',"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,Gintama',completed,Discover the epic story of Gintama'. A must-watch for all anime fans!,https://picsum.photos/seed/9969/225/320
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,completed,Discover the epic story of Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou. A must-watch for all anime fans!,https://picsum.photos/seed/32935/225/320
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,Hunter x Hunter (2011),completed,Gon Freecss aspires to become a Hunter to find his father and face dangerous challenges.,https://picsum.photos/seed/11061/225/320
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,Ginga Eiyuu Densetsu,completed,Discover the epic story of Ginga Eiyuu Densetsu. A must-watch for all anime fans!,https://picsum.photos/seed/820/225/320
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,completed,Discover the epic story of Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare. A must-watch for all anime fans!,https://picsum.photos/seed/15335/225/320
15417,Gintama': Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,Gintama': Enchousen,completed,Discover the epic story of Gintama': Enchousen. A must-watch for all anime fans!,https://picsum.photos/seed/15417/225/320
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,Clannad: After Story,completed,Discover the epic story of Clannad: After Story. A must-watch for all anime fans!,https://picsum.photos/seed/4181/225/320
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733,Koe no Katachi,completed,Discover the epic story of Koe no Katachi. A must-watch for all anime fans!,https://picsum.photos/seed/28851/225/320
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,Gintama,completed,Discover the epic story of Gintama. A must-watch for all anime fans!,https://picsum.photos/seed/918/225/320
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,Code Geass: Hangyaku no Lelouch R2,completed,Discover the epic story of Code Geass: Hangyaku no Lelouch R2. A must-watch for all anime fans!,https://picsum.photos/seed/2904/225/320
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,Haikyuu!! Second Season,completed,Discover the epic story of Haikyuu!! Second Season. A must-watch for all anime fans!,https://picsum.photos/seed/28891/225/320
